ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
tetA(P)	3000180	protein homolog model	CARD; Resistomes & Variants	2	97.79 - 100.0	no data	no data	Clostridium perfringens; Jeotgalibaca arthritidis	17.00	0.00	17.00	30.07	375.00	124.53	0	0	0	0	N/A	N/A		1263; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
qacB	3003047	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	7.00	0.00	7.00	30.29	468.00	135.29	0	0	0	0	N/A	N/A		1545	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
smeF	3003057	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	13.00	0.00	13.00	49.89	699.00	100.23	0	0	0	0	N/A	N/A		1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
vatH	3002845	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	2.00	0.00	2.00	10.91	71.00	39.50	0	0	0	0	N/A	N/A		651	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation
smeE	3003056	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	16.00	0.00	16.00	39.23	1225.00	135.50	0	0	0	0	N/A	N/A		3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
IND-10	3002266	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	2.00	0.00	2.00	8.61	62.00	39.50	0	0	0	0	N/A	N/A		720	IND beta-lactamase	carbapenem	antibiotic inactivation
Erm(36)	3000605	protein homolog model	CARD	1	100.0	no data	no data	Micrococcus luteus	53.00	0.00	53.00	52.48	444.00	106.96	0	0	0	0	N/A	N/A		846	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
ErmX	3000596	protein homolog model	CARD; Resistomes & Variants	2	87.6 - 100.0	YES	no data	Plasmid pNG2; Trueperella pyogenes	14.00	0.00	14.00	26.66	235.00	173.88	0	0	0	0	N/A	N/A		855; 891	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
rphA	3000444	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces sp.	71.00	0.00	71.00	69.90	1816.00	108.61	0	0	0	0	N/A	N/A		2598	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
tet(G)	3000174	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas sp.	1.00	0.00	1.00	12.76	150.00	187.00	0	0	0	0	N/A	N/A		1176	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
OXA-18	3001413	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	4.00	0.00	4.00	31.76	263.00	131.75	0	0	0	0	N/A	N/A		828	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
tet(39)	3000566	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	4.00	0.00	4.00	29.55	351.00	197.75	0	0	0	0	N/A	N/A		1188	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
novA	3002522	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces niveus	129.00	0.00	129.00	73.38	1356.00	102.84	0	0	0	0	N/A	N/A		1848	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
erm(40)	3004606	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium mageritense	10.00	0.00	10.00	51.59	390.00	93.00	0	0	0	0	N/A	N/A		756	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
OCH-5	3002518	protein homolog model	CARD	1	100.0	no data	no data	Brucella anthropi	1.00	0.00	1.00	2.39	28.00	126.00	0	0	0	0	N/A	N/A		1173	OCH beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	10.00	0.00	10.00	64.04	780.00	171.30	0	0	0	0	N/A	N/A		1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
smeC	3003053	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	14.00	0.00	14.00	19.14	271.00	84.71	0	0	0	0	N/A	N/A		1416	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
tet(32)	3000196	protein homolog model	CARD; Resistomes & Variants	2	98.28 - 100.0	no data	no data	Escherichia coli; Enterocloster clostridioformis	5.00	0.00	5.00	10.37	199.00	180.83	0	0	0	0	N/A	N/A		1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
AAC(6')-I30	3002588	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	1.00	0.00	1.00	3.06	17.00	23.00	0	0	0	0	N/A	N/A		555	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
cmx	3002703	protein homolog model	CARD	1	100.0	no data	no data	Corynebacterium striatum	54.00	0.00	54.00	100.00	1176.00	192.87	0	0	0	0	N/A	N/A		1176	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
IND-9	3002265	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium indologenes	2.00	0.00	2.00	2.36	17.00	23.00	0	0	0	0	N/A	N/A		720	IND beta-lactamase	carbapenem	antibiotic inactivation
Erm(43)	3003205	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus lentus	10.00	0.00	10.00	27.32	200.00	71.30	0	0	0	0	N/A	N/A		732	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target alteration
lmrD	3002882	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus lactis	7.00	0.00	7.00	24.31	485.00	165.14	0	0	0	0	N/A	N/A		1995	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic	antibiotic efflux
vgaE	3002833	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	3.00	0.00	3.00	17.40	274.00	156.00	0	0	0	0	N/A	N/A		1575	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
ramA	3000823	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	2.00	0.00	2.00	39.20	147.00	91.00	0	0	0	0	N/A	N/A		375	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
ANT(4')-Ia	3002623	protein homolog model	CARD; Resistomes & Variants	3	99.21 - 100.0	no data	YES	Plasmid pTB913; Staphylococcus aureus	26.00	0.00	26.00	41.36	366.67	196.29	0	0	0	0	N/A	N/A		762; 768; 966	ANT(4')	aminoglycoside antibiotic	antibiotic inactivation
vanO	3002913	protein homolog model	CARD	1	100.0	no data	no data	Rhodococcus hoagii	12.00	0.00	12.00	42.56	443.00	119.83	0	0	0	0	N/A	N/A		1041	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
tet(43)	3000573	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	8.00	0.00	8.00	30.00	468.00	89.00	0	0	0	0	N/A	N/A		1560	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanX gene in vanO cluster	3002954	protein homolog model	CARD	1	100.0	no data	no data	Rhodococcus hoagii	9.00	0.00	9.00	24.14	147.00	68.00	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
spd	3002631	protein homolog model	CARD; Resistomes & Variants	2	98.44 - 100.0	no data	no data	Staphylococcus aureus; Staphylococcus equorum; Staphylococcus haemolyticus	12.00	0.00	12.00	37.56	289.50	160.65	0	0	0	0	N/A	N/A		774; 762	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
arr-1	3002846	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium smegmatis	10.00	0.00	10.00	88.19	381.00	127.90	0	0	0	0	N/A	N/A		432	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation
smeB	3003052	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	14.00	0.00	14.00	30.86	972.00	100.00	0	0	0	0	N/A	N/A		3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
mphC	3000319	protein homolog model	CARD; Resistomes & Variants	2	98.33 - 100.0	no data	no data	Staphylococcus aureus	6.00	0.00	6.00	30.72	276.50	182.38	0	0	0	0	N/A	N/A		900; 900	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
Staphylococcus aureus pgsA mutations conferring resistance to daptomycin	3003323	protein variant model	CARD	1	100.0	no data	no data	Staphylococcus aureus	1.00	0.00	1.00	2.94	17.00	23.00	0	0	0	0	N/A	N/A		579	daptomycin resistant pgsA	peptide antibiotic	antibiotic target alteration
Enterococcus faecium liaR mutant conferring daptomycin resistance	3003078	protein variant model	CARD	1	100.0	no data	no data	Enterococcus faecium	5.00	0.00	5.00	29.86	189.00	87.20	0	0	0	0	N/A	N/A		633	daptomycin resistant liaR	peptide antibiotic	antibiotic target alteration; antibiotic efflux
Staphylococcus aureus rpoC conferring resistance to daptomycin	3003291	protein variant model	CARD	1	100.0	no data	no data	Staphylococcus aureus	72.00	0.00	72.00	50.47	1829.00	133.85	0	0	0	0	N/A	N/A		3624	daptomycin-resistant beta prime subunit of RNA polymerase (rpoC)	peptide antibiotic	antibiotic target alteration
Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	3003395	protein variant model	CARD; Resistomes & Variants	17	80.49 - 100.0	YES	no data	Mycobacterium tuberculosis; Corynebacterium urealyticum; Corynebacterium ulcerans; Bifidobacterium bifidum; Corynebacterium jeikeium; Bifidobacterium longum; Bifidobacterium breve; Kocuria palustris; Micrococcus luteus; Trueperella pyogenes; Schaalia odontolytica; Mycobacterium kansasii	928.00	0.00	928.00	92.55	347.82	134.04	0	0	0	0	N/A	N/A		375; 372; 372; 372; 372; 411; 372; 372; 372; 375; 375; 375; 375; 375; 375; 375; 375	antibiotic-resistant rpsL	aminoglycoside antibiotic	antibiotic target alteration
Escherichia coli 16S rRNA mutation conferring resistance to edeine	3003223	rRNA gene variant model	CARD	1	100.0	no data	no data	Escherichia coli	12.00	0.00	12.00	31.71	489.00	183.08	0	0	0	0	N/A	N/A		1542	16s rRNA with mutation conferring resistance to peptide antibiotics	peptide antibiotic	antibiotic target alteration
Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to amikacin	3003481	rRNA gene variant model	CARD	1	100.0	no data	no data	Mycobacterium tuberculosis	19.00	0.00	19.00	19.58	301.00	182.74	0	0	0	0	N/A	N/A		1537	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin	3003495	rRNA gene variant model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	484.00	0.00	484.00	98.84	1533.00	152.89	0	0	0	0	N/A	N/A		1551	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Mycobacteroides chelonae 16S rRNA mutation conferring resistance to kanamycin A	3003515	rRNA gene variant model	CARD	1	100.0	no data	no data	Mycobacterium	15.00	0.00	15.00	24.43	352.00	189.27	0	0	0	0	N/A	N/A		1441	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Clostridioides difficile EF-Tu mutants conferring resistance to elfamycin	3003357	protein variant model	CARD	1	100.0	no data	no data	Clostridioides difficile	40.00	0.00	40.00	94.39	1127.00	137.40	0	0	0	0	N/A	N/A		1194	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
Salmonella serovars parE conferring resistance to fluoroquinolones	3003317	protein variant model	CARD; Resistomes & Variants	2	96.51 - 100.0	no data	no data	Salmonella enterica; Escherichia coli	17.00	0.00	17.00	35.76	677.00	139.87	0	0	0	0	N/A	N/A		1893; 1893	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
Pasteurella multocida 16S rRNA mutation conferring resistance to spectinomycin	3003493	rRNA gene variant model	CARD; Resistomes & Variants	2	99.68 - 100.0	no data	no data	Pasteurella multocida	727.00	0.00	727.00	63.25	981.00	154.20	0	0	0	0	N/A	N/A		1551; 1551	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
LnuP	3004601	protein homolog model	CARD; Resistomes & Variants	2	100.0	YES	no data	Clostridium perfringens	4.00	0.00	4.00	38.53	193.00	196.25	0	0	0	0	N/A	N/A		501; 501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
Salmonella enterica 16S rRNA (rrsD) mutation conferring resistance to spectinomycin	3003512	rRNA gene variant model	CARD	1	100.0	no data	no data	Salmonella enterica	362.00	0.00	362.00	99.09	1530.00	164.35	0	0	0	0	N/A	N/A		1544	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to neomycin	3003544	rRNA gene variant model	CARD	1	100.0	no data	no data	Mycolicibacterium smegmatis	784.00	0.00	784.00	94.51	1445.00	174.48	0	0	0	0	N/A	N/A		1529	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Mycobacterium leprae gyrA conferring resistance to fluoroquinolones	3003298	protein variant model	CARD	1	100.0	no data	no data	Mycobacterium leprae	3.00	0.00	3.00	5.55	208.00	140.67	0	0	0	0	N/A	N/A		3750	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Klebsiella aerogenes Omp36	3003385	protein variant model	CARD	1	100.0	no data	no data	Klebsiella aerogenes	6.00	0.00	6.00	42.64	481.00	117.67	0	0	0	0	N/A	N/A		1128	General Bacterial Porin with reduced permeability to beta-lactams	monobactam; carbapenem; cephalosporin; penicillin beta-lactam	reduced permeability to antibiotic
Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin	3003497	rRNA gene variant model	CARD	1	100.0	no data	no data	Neisseria meningitidis	2776.00	0.00	2776.00	100.00	1544.00	156.78	0	0	0	0	N/A	N/A		1544	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin	3003485	rRNA gene variant model	CARD	1	100.0	no data	no data	Chlamydia psittaci	335.00	0.00	335.00	99.20	1495.00	142.25	0	0	0	0	N/A	N/A		1507	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin	3003504	rRNA gene variant model	CARD	1	100.0	no data	no data	Borreliella burgdorferi	543.00	0.00	543.00	99.26	1466.00	144.82	0	0	0	0	N/A	N/A		1477	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Mycobacteroides abscessus 16S rRNA mutation conferring resistance to gentamicin	3003240	rRNA gene variant model	CARD	1	100.0	no data	no data	Mycobacteroides abscessus	963.00	0.00	963.00	98.80	1486.00	172.20	0	0	0	0	N/A	N/A		1504	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
Cutibacterium acnes 16S rRNA mutation conferring resistance to tetracycline	3003499	rRNA gene variant model	CARD; Resistomes & Variants	2	99.87 - 100.0	no data	no data	Cutibacterium acnes	922.00	0.00	922.00	60.84	904.00	174.25	0	0	0	0	N/A	N/A		1486; 1486	16S rRNA with mutation conferring resistance to tetracycline derivatives	tetracycline antibiotic	antibiotic target alteration
Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones	3003685	protein variant model	CARD; Resistomes & Variants	3	99.68 - 100.0	YES	no data	Pseudomonas aeruginosa	79.00	0.00	79.00	39.72	750.67	124.62	0	0	0	0	N/A	N/A		1890; 1890; 1890	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
Planobispora rosea EF-Tu mutants conferring resistance to inhibitor GE2270A	3003361	protein variant model	CARD; Resistomes & Variants	2	99.75 - 100.0	no data	no data	Planobispora rosea; Klebsiella pneumoniae	1013.00	0.00	1013.00	56.28	672.00	155.92	0	0	0	0	N/A	N/A		1194; 1194	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
vanI	3003723	protein homolog model	CARD	1	100.0	no data	no data	Desulfitobacterium hafniense	6.00	0.00	6.00	27.89	292.00	81.83	0	0	0	0	N/A	N/A		1047	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
Escherichia coli murA with mutation conferring resistance to fosfomycin	3003775	protein variant model	CARD	1	100.0	no data	no data	Escherichia coli	10.00	0.00	10.00	63.73	803.00	138.90	0	0	0	0	N/A	N/A		1260	antibiotic-resistant murA transferase	phosphonic acid antibiotic	antibiotic target alteration
Mycoplasma genitalium 23S rRNA mutations confers resistance to fluoroquinolone and macrolide antibiotics	3004616	rRNA gene variant model	CARD	1	100.0	no data	no data	Mycoplasma genitalium	33.00	0.00	33.00	26.01	711.00	142.70	0	0	0	0	N/A	N/A		2734	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic; fluoroquinolone antibiotic	antibiotic target alteration
vanR gene in vanI cluster	3003728	protein homolog model	CARD	1	100.0	no data	no data	Desulfitobacterium hafniense	3.00	0.00	3.00	29.47	206.00	122.67	0	0	0	0	N/A	N/A		699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
optrA	3003746	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	10.00	0.00	10.00	32.93	648.00	176.90	0	0	0	0	N/A	N/A		1968	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	oxazolidinone antibiotic; phenicol antibiotic	antibiotic target protection
Streptomyces cinnamoneus EF-Tu mutants conferring resistance to elfamycin	3003359	protein variant model	CARD	1	100.0	no data	no data	Streptomyces cinnamoneus	902.00	0.00	902.00	100.00	1194.00	129.64	0	0	0	0	N/A	N/A		1194	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
Escherichia coli UhpA with mutation conferring resistance to fosfomycin	3003893	protein variant model	CARD	1	100.0	no data	no data	Escherichia coli	2.00	0.00	2.00	13.87	82.00	94.50	0	0	0	0	N/A	N/A		591	antibiotic-resistant UhpT	phosphonic acid antibiotic	antibiotic target alteration
Streptococcus pneumoniae parC conferring resistance to fluoroquinolones	3003311	protein variant model	CARD; Resistomes & Variants	2	97.03 - 100.0	no data	no data	Streptococcus pneumoniae; Streptococcus mitis	4.00	0.00	4.00	7.25	178.50	185.75	0	0	0	0	N/A	N/A		2481; 2445	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
abcA	3003942	protein homolog model	CARD	1	100.0	no data	no data	Aspergillus fumigatus	92.00	0.00	92.00	72.40	3156.00	112.83	0	0	0	0	N/A	N/A		4359	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin; penicillin beta-lactam; peptide antibiotic	antibiotic efflux
Cutibacterium acnes gyrA conferring resistance to fluoroquinolones	3003974	protein variant model	CARD; Resistomes & Variants	2	99.1 - 100.0	YES	no data	Cutibacterium acnes	214.00	0.00	214.00	66.66	1784.00	99.36	0	0	0	0	N/A	N/A		2676; 2676	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
Pseudomonas mutant PhoP conferring resistance to colistin	3003895	protein variant model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	25.00	0.00	25.00	72.12	489.00	108.56	0	0	0	0	N/A	N/A		678	ATP-binding cassette (ABC) antibiotic efflux pump; pmr phosphoethanolamine transferase; transmembrane protein conferring colistin resistance	macrolide antibiotic; peptide antibiotic	antibiotic target alteration; antibiotic efflux; resistance by absence
lfrA	3003967	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium smegmatis	35.00	0.00	35.00	68.18	1033.00	78.57	0	0	0	0	N/A	N/A		1515	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
D-Ala-D-Ala ligase	3003970	protein variant model	CARD	1	100.0	no data	no data	Enterococcus gallinarum	3.00	0.00	3.00	18.18	192.00	89.33	0	0	0	0	N/A	N/A		1056	Van ligase	glycopeptide antibiotic	antibiotic target alteration
Clostridioides difficile rpoB with mutation conferring resistance to rifampicin	3004563	protein variant model	CARD	1	100.0	no data	no data	Clostridium ljungdahlii	14.00	0.00	14.00	26.47	987.00	98.71	0	0	0	0	N/A	N/A		3729	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
Halobacterium salinarum 16S rRNA mutation conferring resistance to pactamycin	3003977	rRNA gene variant model	CARD	1	100.0	no data	no data	Halobacterium salinarum	109.00	0.00	109.00	53.97	795.00	99.24	0	0	0	0	N/A	N/A		1473	16S rRNA with mutation conferring resistance to pactamycin	pactamycin-like antibiotic	antibiotic target alteration
Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline	3003510	rRNA gene variant model	CARD	1	100.0	no data	no data	Helicobacter pylori	1100.00	0.00	1100.00	99.93	1500.00	138.51	0	0	0	0	N/A	N/A		1501	16S rRNA with mutation conferring resistance to tetracycline derivatives	tetracycline antibiotic	antibiotic target alteration
Mycobacteroides chelonae 23S rRNA with mutation conferring resistance to clarithromycin	3004165	rRNA gene variant model	CARD	1	100.0	no data	no data	Mycobacteroides chelonae	69.00	0.00	69.00	42.82	1333.00	148.54	0	0	0	0	N/A	N/A		3113	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
rphB	3003992	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus sp.	32.00	0.00	32.00	53.75	1427.00	92.59	0	0	0	0	N/A	N/A		2655	rifampin phosphotransferase	rifamycin antibiotic	antibiotic inactivation
Clostridioides difficile rpoC with mutation conferring resistance to vancomycin	3004681	protein variant model	CARD	1	100.0	no data	no data	Clostridioides difficile	57.00	0.00	57.00	72.63	2532.00	130.63	0	0	0	0	N/A	N/A		3486	vancomycin-resistant beta prime subunit of RNA polymerase (rpoC)	glycopeptide antibiotic	antibiotic target alteration
vga(E) Staphylococcus cohnii	3004715	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus cohnii	5.00	0.00	5.00	19.62	309.00	108.40	0	0	0	0	N/A	N/A		1575	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection
